2018-10-23;1,1478
2014-10-23;1,2669
2014-10-22;1,2693
2014-10-21;1,2762
2014-10-20;1,2773
2014-10-17;1,2823
2014-10-16;1,2749
2014-10-15;1,2666
2014-10-14;1,2646
2014-10-13;1,2679
2014-10-10;1,2638
2014-10-09;1,2763
2014-10-08;1,2645
2014-10-07;1,2607
2014-10-06;1,2565
2014-10-03;1,2616
2014-10-02;1,2631
2014-10-01;1,2603
2014-09-30;1,2583
2014-09-29;1,2701
2014-09-26;1,2732
2014-09-25;1,2712
2014-09-24;1,2826
2014-09-23;1,2892
2014-09-22;1,2845
2014-09-19;1,2852
2014-09-18;1,2872
2014-09-17;1,2956
2014-09-16;1,2949
2014-09-15;1,2911
2014-09-12;1,2931
2014-09-11;1,2928
2014-09-10;1,2929
2014-09-09;1,2902
2014-09-08;1,2947
2014-09-05;1,2948
2014-09-04;1,3015
2014-09-03;1,3151
2014-09-02;1,3115
2014-09-01;1,3133
2014-08-29;1,3188
2014-08-28;1,3178
2014-08-27;1,3177
2014-08-26;1,3192
2014-08-25;1,3200
2014-08-22;1,3267
2014-08-21;1,3262
2014-08-20;1,3284
2014-08-19;1,3354
2014-08-18;1,3383
2014-08-15;1,3388
2014-08-14;1,3373
2014-08-13;1,3360
2014-08-12;1,3346
2014-08-11;1,3386
2014-08-08;1,3388
2014-08-07;1,3368
2014-08-06;1,3345
2014-08-05;1,3382
2014-08-04;1,3422
2014-08-01;1,3395
2014-07-31;1,3379
2014-07-30;1,3401
2014-07-29;1,3429
2014-07-28;1,3433
2014-07-25;1,3440
2014-07-24;1,3472
2014-07-23;1,3465
2014-07-22;1,3481
2014-07-21;1,3518
2014-07-18;1,3525
2014-07-17;1,3525
2014-07-16;1,3532
2014-07-15;1,3613
2014-07-14;1,3627
2014-07-11;1,3595
2014-07-10;1,3604
2014-07-09;1,3603
2014-07-08;1,3589
2014-07-07;1,3592
2014-07-04;1,3588
2014-07-03;1,3646
2014-07-02;1,3656
2014-07-01;1,3688
2014-06-30;1,3658
2014-06-27;1,3620
2014-06-26;1,3606
2014-06-25;1,3615
2014-06-24;1,3618
2014-06-23;1,3596
2014-06-20;1,3588
2014-06-19;1,3620
2014-06-18;1,3563
2014-06-17;1,3568
2014-06-16;1,3532
2014-06-13;1,3534
2014-06-12;1,3528
2014-06-11;1,3547
2014-06-10;1,3547
2014-06-09;1,3608
2014-06-06;1,3642
2014-06-05;1,3567
2014-06-04;1,3627
2014-06-03;1,3645
2014-06-02;1,3611
2014-05-30;1,3607
2014-05-29;1,3612
2014-05-28;1,3608
2014-05-27;1,3638
2014-05-26;1,3635
2014-05-23;1,3630
2014-05-22;1,3668
2014-05-21;1,3676
2014-05-20;1,3702
2014-05-19;1,3715
2014-05-16;1,3696
2014-05-15;1,3659
2014-05-14;1,3719
2014-05-13;1,3703
2014-05-12;1,3765
2014-05-09;1,3781
2014-05-08;1,3953
2014-05-07;1,3927
2014-05-06;1,3945
2014-05-05;1,3874
2014-05-02;1,3862
2014-04-30;1,3850
2014-04-29;1,3826
2014-04-28;1,3861
2014-04-25;1,3831
2014-04-24;1,3820
2014-04-23;1,3834
2014-04-22;1,3817
2014-04-17;1,3855
2014-04-16;1,3840
2014-04-15;1,3803
2014-04-14;1,3827
2014-04-11;1,3872
2014-04-10;1,3867
2014-04-09;1,3794
2014-04-08;1,3774
2014-04-07;1,3723
2014-04-04;1,3700
2014-04-03;1,3771
2014-04-02;1,3795
2014-04-01;1,3790
2014-03-31;1,3788
2014-03-28;1,3759
2014-03-27;1,3758
2014-03-26;1,3791
2014-03-25;1,3789
2014-03-24;1,3774
2014-03-21;1,3780
2014-03-20;1,3762
2014-03-19;1,3913
2014-03-18;1,3902
2014-03-17;1,3906
2014-03-14;1,3884
2014-03-13;1,3942
2014-03-12;1,3887
2014-03-11;1,3850
2014-03-10;1,3881
2014-03-07;1,3894
2014-03-06;1,3745
2014-03-05;1,3732
2014-03-04;1,3768
2014-03-03;1,3768
2014-02-28;1,3813
2014-02-27;1,3656
2014-02-26;1,3726
2014-02-25;1,3754
2014-02-24;1,3735
2014-02-21;1,3707
2014-02-20;1,3706
2014-02-19;1,3745
2014-02-18;1,3731
2014-02-17;1,3699
2014-02-14;1,3707
2014-02-13;1,3675
2014-02-12;1,3573
2014-02-11;1,3676
2014-02-10;1,3638
2014-02-07;1,3574
2014-02-06;1,3495
2014-02-05;1,3543
2014-02-04;1,3519
2014-02-03;1,3498
2014-01-31;1,3516
2014-01-30;1,3574
2014-01-29;1,3608
2014-01-28;1,3649
2014-01-27;1,3658
2014-01-24;1,3687
2014-01-23;1,3639
2014-01-22;1,3566
2014-01-21;1,3526
2014-01-20;1,3566
2014-01-17;1,3584
2014-01-16;1,3597
2014-01-15;1,3606
2014-01-14;1,3667
2014-01-13;1,3654
2014-01-10;1,3587
2014-01-09;1,3612
2014-01-08;1,3594
2014-01-07;1,3641
2014-01-06;1,3602
2014-01-03;1,3634
2014-01-02;1,3658
2013-12-31;1,3791
2013-12-30;1,3783
2013-12-27;1,3814
2013-12-24;1,3684
2013-12-23;1,3702
2013-12-20;1,3655
2013-12-19;1,3667
2013-12-18;1,3749
2013-12-17;1,3749
2013-12-16;1,3776
2013-12-13;1,3727
2013-12-12;1,3775
2013-12-11;1,3767
2013-12-10;1,3750
2013-12-09;1,3722
2013-12-06;1,3661
2013-12-05;1,3594
2013-12-04;1,3592
2013-12-03;1,3578
2013-12-02;1,3536
2013-11-29;1,3611
2013-11-28;1,3592
2013-11-27;1,3596
2013-11-26;1,3547
2013-11-25;1,3514
2013-11-22;1,3518
2013-11-21;1,3472
2013-11-20;1,3527
2013-11-19;1,3502
2013-11-18;1,3517
2013-11-15;1,3460
2013-11-14;1,3436
2013-11-13;1,3415
2013-11-12;1,3432
2013-11-11;1,3394
2013-11-08;1,3431
2013-11-07;1,3365
2013-11-06;1,3517
2013-11-05;1,3494
2013-11-04;1,3506
2013-11-01;1,3505
2013-10-31;1,3641
2013-10-30;1,3755
2013-10-29;1,3768
2013-10-28;1,3784
2013-10-25;1,3777
2013-10-24;1,3805
2013-10-23;1,3752
2013-10-22;1,3674
2013-10-21;1,3667
2013-10-18;1,3684
2013-10-17;1,3662
2013-10-16;1,3561
2013-10-15;1,3493
2013-10-14;1,3564
2013-10-11;1,3566
2013-10-10;1,3532
2013-10-09;1,3515
2013-10-08;1,3576
2013-10-07;1,3572
2013-10-04;1,3593
2013-10-03;1,3594
2013-10-02;1,3515
2013-10-01;1,3554
2013-09-30;1,3505
2013-09-27;1,3537
2013-09-26;1,3499
2013-09-25;1,3504
2013-09-24;1,3473
2013-09-23;1,3508
2013-09-20;1,3514
2013-09-19;1,3545
2013-09-18;1,3352
2013-09-17;1,3356
2013-09-16;1,3357
2013-09-13;1,3295
2013-09-12;1,3290
2013-09-11;1,3268
2013-09-10;1,3240
2013-09-09;1,3194
2013-09-06;1,3117
2013-09-05;1,3202
2013-09-04;1,3171
2013-09-03;1,3172
2013-09-02;1,3207
2013-08-30;1,3235
2013-08-29;1,3266
2013-08-28;1,3347
2013-08-27;1,3338
2013-08-26;1,3361
2013-08-23;1,3355
2013-08-22;1,3323
2013-08-21;1,3384
2013-08-20;1,3392
2013-08-19;1,3344
2013-08-16;1,3340
2013-08-15;1,3297
2013-08-14;1,3243
2013-08-13;1,3290
2013-08-12;1,3280
2013-08-09;1,3373
2013-08-08;1,3360
2013-08-07;1,3305
2013-08-06;1,3280
2013-08-05;1,3257
2013-08-02;1,3203
2013-08-01;1,3236
2013-07-31;1,3275
2013-07-30;1,3284
2013-07-29;1,3270
2013-07-26;1,3260
2013-07-25;1,3202
2013-07-24;1,3246
2013-07-23;1,3180
2013-07-22;1,3166
2013-07-19;1,3123
2013-07-18;1,3093
2013-07-17;1,3136
2013-07-16;1,3118
2013-07-15;1,3012
2013-07-12;1,3034
2013-07-11;1,3044
2013-07-10;1,2813
2013-07-09;1,2857
2013-07-08;1,2850
2013-07-05;1,2883
2013-07-04;1,2984
2013-07-03;1,2959
2013-07-02;1,3017
2013-07-01;1,3037
2013-06-28;1,3080
2013-06-27;1,3032
2013-06-26;1,3024
2013-06-25;1,3134
2013-06-24;1,3086
2013-06-21;1,3180
2013-06-20;1,3200
2013-06-19;1,3406
2013-06-18;1,3374
2013-06-17;1,3337
2013-06-14;1,3303
2013-06-13;1,3315
2013-06-12;1,3277
2013-06-11;1,3273
2013-06-10;1,3209
2013-06-07;1,3260
2013-06-06;1,3118
2013-06-05;1,3067
2013-06-04;1,3092
2013-06-03;1,3008
2013-05-31;1,3006
2013-05-30;1,2944
2013-05-29;1,2952
2013-05-28;1,2938
2013-05-27;1,2939
2013-05-24;1,2939
2013-05-23;1,2888
2013-05-22;1,2923
2013-05-21;1,2866
2013-05-20;1,2853
2013-05-17;1,2869
2013-05-16;1,2890
2013-05-15;1,2864
2013-05-14;1,2977
2013-05-13;1,2973
2013-05-10;1,2988
2013-05-09;1,3142
2013-05-08;1,3135
2013-05-07;1,3107
2013-05-06;1,3107
2013-05-03;1,3114
2013-05-02;1,3191
2013-04-30;1,3072
2013-04-29;1,3113
2013-04-26;1,2999
2013-04-25;1,3080
2013-04-24;1,3006
2013-04-23;1,2990
2013-04-22;1,3037
2013-04-19;1,3115
2013-04-18;1,3045
2013-04-17;1,3129
2013-04-16;1,3129
2013-04-15;1,3081
2013-04-12;1,3052
2013-04-11;1,3119
2013-04-10;1,3086
2013-04-09;1,3040
2013-04-08;1,3023
2013-04-05;1,2944
2013-04-04;1,2818
2013-04-03;1,2828
2013-04-02;1,2840
2013-03-28;1,2805
2013-03-27;1,2768
2013-03-26;1,2861
2013-03-25;1,2935
2013-03-22;1,2948
2013-03-21;1,2910
2013-03-20;1,2945
2013-03-19;1,2944
2013-03-18;1,2929
2013-03-15;1,3086
2013-03-14;1,2937
2013-03-13;1,2981
2013-03-12;1,3053
2013-03-11;1,2994
2013-03-08;1,3090
2013-03-07;1,3010
2013-03-06;1,3035
2013-03-05;1,3034
2013-03-04;1,3007
2013-03-01;1,3000
2013-02-28;1,3129
2013-02-27;1,3097
2013-02-26;1,3077
2013-02-25;1,3304
2013-02-22;1,3186
2013-02-21;1,3186
2013-02-20;1,3370
2013-02-19;1,3349
2013-02-18;1,3352
2013-02-15;1,3325
2013-02-14;1,3327
2013-02-13;1,3480
2013-02-12;1,3438
2013-02-11;1,3391
2013-02-08;1,3374
2013-02-07;1,3546
2013-02-06;1,3517
2013-02-05;1,3537
2013-02-04;1,3552
2013-02-01;1,3644
2013-01-31;1,3550
2013-01-30;1,3541
2013-01-29;1,3433
2013-01-28;1,3444
2013-01-25;1,3469
2013-01-24;1,3349
2013-01-23;1,3330
2013-01-22;1,3317
2013-01-21;1,3323
2013-01-18;1,3324
2013-01-17;1,3368
2013-01-16;1,3277
2013-01-15;1,3327
2013-01-14;1,3341
2013-01-11;1,3274
2013-01-10;1,3113
2013-01-09;1,3056
2013-01-08;1,3086
2013-01-07;1,3039
2013-01-04;1,3012
2013-01-03;1,3102
2013-01-02;1,3262
2012-12-31;1,3194
2012-12-28;1,3183
2012-12-27;1,3266
2012-12-24;1,3218
2012-12-21;1,3209
2012-12-20;1,3246
2012-12-19;1,3302
2012-12-18;1,3178
2012-12-17;1,3160
2012-12-14;1,3081
2012-12-13;1,3077
2012-12-12;1,3040
2012-12-11;1,2993
2012-12-10;1,2930
2012-12-07;1,2905
2012-12-06;1,3072
2012-12-05;1,3065
2012-12-04;1,3092
2012-12-03;1,3057
2012-11-30;1,2986
2012-11-29;1,2994
2012-11-28;1,2891
2012-11-27;1,2961
2012-11-26;1,2964
2012-11-23;1,2909
2012-11-22;1,2893
2012-11-21;1,2805
2012-11-20;1,2809
2012-11-19;1,2762
2012-11-16;1,2745
2012-11-15;1,2756
2012-11-14;1,2726
2012-11-13;1,2696
2012-11-12;1,2735
2012-11-09;1,2694
2012-11-08;1,2736
2012-11-07;1,2746
2012-11-06;1,2800
2012-11-05;1,2777
2012-11-02;1,2850
2012-11-01;1,2975
2012-10-31;1,2993
2012-10-30;1,2962
2012-10-29;1,2898
2012-10-26;1,2908
2012-10-25;1,2993
2012-10-24;1,2942
2012-10-23;1,3005
2012-10-22;1,3063
2012-10-19;1,3035
2012-10-18;1,3118
2012-10-17;1,3120
2012-10-16;1,3046
2012-10-15;1,2971
2012-10-12;1,2970
2012-10-11;1,2918
2012-10-10;1,2889
2012-10-09;1,2953
2012-10-08;1,2958
2012-10-05;1,3002
2012-10-04;1,2951
2012-10-03;1,2904
2012-10-02;1,2930
2012-10-01;1,2877
2012-09-28;1,2930
2012-09-27;1,2874
2012-09-26;1,2845
2012-09-25;1,2932
2012-09-24;1,2916
2012-09-21;1,2988
2012-09-20;1,2954
2012-09-19;1,3002
2012-09-18;1,3054
2012-09-17;1,3086
2012-09-14;1,3095
2012-09-13;1,2910
2012-09-12;1,2896
2012-09-11;1,2787
2012-09-10;1,2776
2012-09-07;1,2706
2012-09-06;1,2638
2012-09-05;1,2578
2012-09-04;1,2579
2012-09-03;1,2568
2012-08-31;1,2611
2012-08-30;1,2544
2012-08-29;1,2545
2012-08-28;1,2548
2012-08-27;1,2530
2012-08-24;1,2507
2012-08-23;1,2552
2012-08-22;1,2448
2012-08-21;1,2428
2012-08-20;1,2300
2012-08-17;1,2337
2012-08-16;1,2279
2012-08-15;1,2276
2012-08-14;1,2352
2012-08-13;1,2339
2012-08-10;1,2262
2012-08-09;1,2301
2012-08-08;1,2336
2012-08-07;1,2436
2012-08-06;1,2379
2012-08-03;1,2245
2012-08-02;1,2346
2012-08-01;1,2298
2012-07-31;1,2284
2012-07-30;1,2246
2012-07-27;1,2317
2012-07-26;1,2260
2012-07-25;1,2134
2012-07-24;1,2089
2012-07-23;1,2105
2012-07-20;1,2200
2012-07-19;1,2287
2012-07-18;1,2234
2012-07-17;1,2281
2012-07-16;1,2177
2012-07-13;1,2185
2012-07-12;1,2178
2012-07-11;1,2260
2012-07-10;1,2285
2012-07-09;1,2293
2012-07-06;1,2377
2012-07-05;1,2426
2012-07-04;1,2560
2012-07-03;1,2575
2012-07-02;1,2593
2012-06-29;1,2590
2012-06-28;1,2418
2012-06-27;1,2478
2012-06-26;1,2475
2012-06-25;1,2488
2012-06-22;1,2539
2012-06-21;1,2670
2012-06-20;1,2704
2012-06-19;1,2619
2012-06-18;1,2618
2012-06-15;1,2596
2012-06-14;1,2551
2012-06-13;1,2534
2012-06-12;1,2492
2012-06-11;1,2544
2012-06-08;1,2468
2012-06-07;1,2595
2012-06-06;1,2485
2012-06-05;1,2429
2012-06-04;1,2437
2012-06-01;1,2322
2012-05-31;1,2403
2012-05-30;1,2438
2012-05-29;1,2523
2012-05-28;1,2566
2012-05-25;1,2546
2012-05-24;1,2557
2012-05-23;1,2659
2012-05-22;1,2768
2012-05-21;1,2750
2012-05-18;1,2721
2012-05-17;1,2682
2012-05-16;1,2738
2012-05-15;1,2843
2012-05-14;1,2863
2012-05-11;1,2944
2012-05-10;1,2961
2012-05-09;1,2950
2012-05-08;1,3025
2012-05-07;1,3033
2012-05-04;1,3132
2012-05-03;1,3123
2012-05-02;1,3131
2012-05-01;-
2012-04-30;1,3214
2012-04-27;1,3229
2012-04-26;1,3215
2012-04-25;1,3206
2012-04-24;1,3161
2012-04-23;1,3131
2012-04-20;1,3192
2012-04-19;1,3086
2012-04-18;1,3093
2012-04-17;1,3132
2012-04-16;1,3024
2012-04-13;1,3148
2012-04-12;1,3153
2012-04-11;1,3131
2012-04-10;1,3114
2012-04-09;-
2012-04-06;-
2012-04-05;1,3068
2012-04-04;1,3142
2012-04-03;1,3315
2012-04-02;1,3319
2012-03-30;1,3356
2012-03-29;1,3272
2012-03-28;1,3337
2012-03-27;1,3333
2012-03-26;1,3276
2012-03-23;1,3242
2012-03-22;1,3167
2012-03-21;1,3225
2012-03-20;1,3198
2012-03-19;1,3150
2012-03-16;1,3116
2012-03-15;1,3057
2012-03-14;1,3062
2012-03-13;1,3057
2012-03-12;1,3119
2012-03-09;1,3191
2012-03-08;1,3242
2012-03-07;1,3120
2012-03-06;1,3153
2012-03-05;1,3220
2012-03-02;1,3217
2012-03-01;1,3312
2012-02-29;1,3443
2012-02-28;1,3454
2012-02-27;1,3388
2012-02-24;1,3412
2012-02-23;1,3300
2012-02-22;1,3230
2012-02-21;1,3222
2012-02-20;1,3266
2012-02-17;1,3159
2012-02-16;1,2982
2012-02-15;1,3092
2012-02-14;1,3169
2012-02-13;1,3254
2012-02-10;1,3189
2012-02-09;1,3288
2012-02-08;1,3274
2012-02-07;1,3113
2012-02-06;1,3042
2012-02-03;1,3160
2012-02-02;1,3094
2012-02-01;1,3175
2012-01-31;1,3176
2012-01-30;1,3110
2012-01-27;1,3145
2012-01-26;1,3145
2012-01-25;1,2942
2012-01-24;1,3003
2012-01-23;1,3017
2012-01-20;1,2902
2012-01-19;1,2911
2012-01-18;1,2831
2012-01-17;1,2790
2012-01-16;1,2669
2012-01-13;1,2771
2012-01-12;1,2736
2012-01-11;1,2718
2012-01-10;1,2808
2012-01-09;1,2728
2012-01-06;1,2776
2012-01-05;1,2832
2012-01-04;1,2948
2012-01-03;1,3014
2012-01-02;1,2935
2011-12-30;1,2939
2011-12-29;1,2889
2011-12-28;1,3074
2011-12-27;1,3069
2011-12-26;-
2011-12-23;1,3057
2011-12-22;1,3047
2011-12-21;1,3054
2011-12-20;1,3074
2011-12-19;1,3039
2011-12-16;1,3064
2011-12-15;1,3019
2011-12-14;1,2993
2011-12-13;1,3181
2011-12-12;1,3251
2011-12-09;1,3384
2011-12-08;1,3410
2011-12-07;1,3377
2011-12-06;1,3394
2011-12-05;1,3442
2011-12-02;1,3511
2011-12-01;1,3492
2011-11-30;1,3418
2011-11-29;1,3336
2011-11-28;1,3348
2011-11-25;1,3229
2011-11-24;1,3373
2011-11-23;1,3387
2011-11-22;1,3535
2011-11-21;1,3458
2011-11-18;1,3576
2011-11-17;1,3480
2011-11-16;1,3484
2011-11-15;1,3532
2011-11-14;1,3659
2011-11-11;1,3650
2011-11-10;1,3616
2011-11-09;1,3633
2011-11-08;1,3788
2011-11-07;1,3742
2011-11-04;1,3773
2011-11-03;1,3773
2011-11-02;1,3809
2011-11-01;1,3627
2011-10-31;1,4001
2011-10-28;1,4160
2011-10-27;1,4038
2011-10-26;1,3927
2011-10-25;1,3918
2011-10-24;1,3856
2011-10-21;1,3798
2011-10-20;1,3807
2011-10-19;1,3828
2011-10-18;1,3676
2011-10-17;1,3776
2011-10-14;1,3807
2011-10-13;1,3727
2011-10-12;1,3766
2011-10-11;1,3607
2011-10-10;1,3593
2011-10-07;1,3434
2011-10-06;1,3269
2011-10-05;1,3337
2011-10-04;1,3181
2011-10-03;1,3327
2011-09-30;1,3503
2011-09-29;1,3615
2011-09-28;1,3631
2011-09-27;1,3579
2011-09-26;1,3500
2011-09-23;1,3430
2011-09-22;1,3448
2011-09-21;1,3636
2011-09-20;1,3710
2011-09-19;1,3641
2011-09-16;1,3760
2011-09-15;1,3795
2011-09-14;1,3729
2011-09-13;1,3645
2011-09-12;1,3656
2011-09-09;1,3817
2011-09-08;1,4044
2011-09-07;1,4036
2011-09-06;1,4099
2011-09-05;1,4126
2011-09-02;1,4255
2011-09-01;1,4285
2011-08-31;1,4450
2011-08-30;1,4402
2011-08-29;1,4487
2011-08-26;1,4402
2011-08-25;1,4424
2011-08-24;1,4433
2011-08-23;1,4462
2011-08-22;1,4413
2011-08-19;1,4385
2011-08-18;1,4369
2011-08-17;1,4477
2011-08-16;1,4360
2011-08-15;1,4309
2011-08-12;1,4250
2011-08-11;1,4143
2011-08-10;1,4367
2011-08-09;1,4267
2011-08-08;1,4225
2011-08-05;1,4155
2011-08-04;1,4229
2011-08-03;1,4300
2011-08-02;1,4170
2011-08-01;1,4415
2011-07-29;1,4260
2011-07-28;1,4260
2011-07-27;1,4446
2011-07-26;1,4471
2011-07-25;1,4380
2011-07-22;1,4391
2011-07-21;1,4222
2011-07-20;1,4207
2011-07-19;1,4160
2011-07-18;1,4045
2011-07-15;1,4146
2011-07-14;1,4202
2011-07-13;1,4073
2011-07-12;1,3975
2011-07-11;1,4056
2011-07-08;1,4242
2011-07-07;1,4247
2011-07-06;1,4318
2011-07-05;1,4461
2011-07-04;1,4500
2011-07-01;1,4488
2011-06-30;1,4453
2011-06-29;1,4425
2011-06-28;1,4261
2011-06-27;1,4205
2011-06-24;1,4220
2011-06-23;1,4212
2011-06-22;1,4397
2011-06-21;1,4373
2011-06-20;1,4235
2011-06-17;1,4270
2011-06-16;1,4088
2011-06-15;1,4292
2011-06-14;1,4448
2011-06-13;1,4354
2011-06-10;1,4486
2011-06-09;1,4614
2011-06-08;1,4608
2011-06-07;1,4652
2011-06-06;1,4596
2011-06-03;1,4488
2011-06-02;1,4460
2011-06-01;1,4408
2011-05-31;1,4385
2011-05-30;1,4272
2011-05-27;1,4265
2011-05-26;1,4168
2011-05-25;1,4069
2011-05-24;1,4089
2011-05-23;1,4020
2011-05-20;1,4237
2011-05-19;1,4265
2011-05-18;1,4227
2011-05-17;1,4171
2011-05-16;1,4143
2011-05-13;1,4280
2011-05-12;1,4153
2011-05-11;1,4357
2011-05-10;1,4358
2011-05-09;1,4397
2011-05-06;1,4501
2011-05-05;1,4814
2011-05-04;1,4882
2011-05-03;1,4780
2011-05-02;1,4837
2011-04-29;1,4860
2011-04-28;1,4794
2011-04-27;1,4668
2011-04-26;1,4617
2011-04-25;-
2011-04-22;-
2011-04-21;1,4584
2011-04-20;1,4515
2011-04-19;1,4302
2011-04-18;1,4275
2011-04-15;1,4450
2011-04-14;1,4401
2011-04-13;1,4493
2011-04-12;1,4470
2011-04-11;1,4434
2011-04-08;1,4401
2011-04-07;1,4283
2011-04-06;1,4300
2011-04-05;1,4166
2011-04-04;1,4240
2011-04-01;1,4141
2011-03-31;1,4207
2011-03-30;1,4090
2011-03-29;1,4066
2011-03-28;1,4032
2011-03-25;1,4115
2011-03-24;1,4128
2011-03-23;1,4136
2011-03-22;1,4211
2011-03-21;1,4194
2011-03-18;1,4130
2011-03-17;1,4004
2011-03-16;1,3951
2011-03-15;1,3884
2011-03-14;1,3948
2011-03-11;1,3773
2011-03-10;1,3817
2011-03-09;1,3928
2011-03-08;1,3898
2011-03-07;1,4028
2011-03-04;1,3957
2011-03-03;1,3850
2011-03-02;1,3809
2011-03-01;1,3825
2011-02-28;1,3834
2011-02-25;1,3762
2011-02-24;1,3773
2011-02-23;1,3731
2011-02-22;1,3667
2011-02-21;1,3668
2011-02-18;1,3627
2011-02-17;1,3560
2011-02-16;1,3510
2011-02-15;1,3510
2011-02-14;1,3440
2011-02-11;1,3524
2011-02-10;1,3604
2011-02-09;1,3647
2011-02-08;1,3635
2011-02-07;1,3553
2011-02-04;1,3631
2011-02-03;1,3745
2011-02-02;1,3803
2011-02-01;1,3755
2011-01-31;1,3692
2011-01-28;1,3710
2011-01-27;1,3716
2011-01-26;1,3681
2011-01-25;1,3596
2011-01-24;1,3571
2011-01-21;1,3521
2011-01-20;1,3472
2011-01-19;1,3506
2011-01-18;1,3371
2011-01-17;1,3311
2011-01-14;1,3349
2011-01-13;1,3199
2011-01-12;1,2973
2011-01-11;1,2948
2011-01-10;1,2903
2011-01-07;1,2961
2011-01-06;1,3091
2011-01-05;1,3213
2011-01-04;1,3421
2011-01-03;1,3348
2010-12-31;1,3362
2010-12-30;1,3280
2010-12-29;1,3136
2010-12-28;1,3195
2010-12-27;1,3136
2010-12-24;1,3099
2010-12-23;1,3064
2010-12-22;1,3112
2010-12-21;1,3155
2010-12-20;1,3147
2010-12-17;1,3260
2010-12-16;1,3238
2010-12-15;1,3360
2010-12-14;1,3435
2010-12-13;1,3267
2010-12-10;1,3244
2010-12-09;1,3214
2010-12-08;1,3200
2010-12-07;1,3363
2010-12-06;1,3280
2010-12-03;1,3246
2010-12-02;1,3155
2010-12-01;1,3115
2010-11-30;1,2998
2010-11-29;1,3146
2010-11-26;1,3225
2010-11-25;1,3321
2010-11-24;1,3339
2010-11-23;1,3496
2010-11-22;1,3647
2010-11-19;1,3674
2010-11-18;1,3647
2010-11-17;1,3481
2010-11-16;1,3612
2010-11-15;1,3626
2010-11-12;1,3711
2010-11-11;1,3700
2010-11-10;1,3770
2010-11-09;1,3945
2010-11-08;1,3917
2010-11-05;1,4084
2010-11-04;1,4244
2010-11-03;1,4014
